Beautiful,Confusing,Courageous,Fascinating,Funny,Informative,Ingenious,Inspiring,Jaw-dropping,Longwinded,OK,Obnoxious,Persuasive,Unconvincing,talk_id,main_rating
95,12,24,552,43,187,824,372,403,9,111,8,54,50,384,Ingenious
376,38,658,639,48,706,356,3420,257,98,190,48,1859,118,385,Inspiring
49,32,114,1271,506,751,290,528,967,42,91,63,440,116,386,Fascinating
220,7,146,159,7,34,49,655,79,20,18,0,119,10,387,Inspiring
668,2,89,283,9,9,47,657,659,7,11,8,31,5,388,Beautiful
262,13,157,246,22,369,29,785,216,18,26,12,464,15,389,Inspiring
91,8,61,206,5,151,39,343,44,87,45,23,133,82,390,talk_id
58,4,25,388,16,185,328,87,463,16,31,3,18,3,391,Jaw-dropping
6,12,80,100,25,543,17,156,447,5,54,16,390,15,392,Informative
53,3,37,112,28,103,11,75,52,8,22,6,2,3,393,talk_id
287,7,167,169,9,35,35,154,41,17,55,7,9,16,394,talk_id
15,6,7,147,25,262,73,118,14,27,197,17,36,56,395,talk_id
12,21,30,54,20,99,16,62,2,75,90,64,34,99,396,talk_id
88,8,216,226,6,173,331,711,321,11,3,8,211,8,397,Inspiring
93,2,64,104,9,94,59,298,32,11,40,12,97,16,398,talk_id
90,30,477,618,1049,652,213,1416,265,35,75,22,865,41,399,Inspiring
214,46,73,135,3,4,86,128,250,42,49,119,9,89,400,talk_id
136,11,10,190,308,196,77,277,21,13,72,4,80,28,401,talk_id
313,76,237,2467,186,1079,2366,1819,3371,91,444,87,332,158,402,Jaw-dropping
927,13,673,560,135,182,199,1497,349,35,102,40,164,39,403,Inspiring
73,14,38,376,52,375,83,374,63,42,92,7,261,21,404,talk_id
44,44,78,217,27,502,218,457,88,77,161,31,291,55,405,Informative
50,91,23,336,595,588,194,102,24,44,289,42,240,144,406,Funny
113,15,253,1722,307,1502,644,796,235,27,90,11,1101,27,407,Fascinating
97,19,28,457,601,85,181,380,110,50,68,24,33,19,408,Funny
77,9,7,63,196,20,78,53,5,23,91,22,0,18,409,talk_id
196,11,45,563,24,1593,370,629,159,11,158,3,448,52,410,Informative
22,5,40,177,15,185,342,234,71,5,36,5,129,24,411,talk_id
242,3,183,81,12,133,10,638,22,10,71,3,167,16,412,Inspiring
22,21,27,182,571,463,103,55,63,100,94,204,60,34,413,Funny
723,59,264,499,294,351,157,3238,141,204,219,18,482,61,414,Inspiring
12,9,128,282,11,370,73,133,76,9,41,10,171,11,415,talk_id
77,4,5,13,5,4,5,39,12,27,10,5,3,7,416,talk_id
93,5,60,126,14,164,104,534,56,15,90,26,169,34,417,Inspiring
257,5,354,233,47,24,32,214,484,7,36,15,13,9,418,Jaw-dropping
44,0,4,15,2,48,43,22,1,12,44,6,5,23,419,talk_id
27,37,99,360,8,518,44,95,208,61,113,88,277,95,420,Informative
103,0,34,44,3,21,7,98,8,12,27,5,12,8,421,talk_id
38,49,57,211,0,279,151,67,54,72,109,85,168,209,422,talk_id
291,18,55,2710,169,1690,802,924,1071,34,85,36,397,18,423,Fascinating
95,77,87,216,1132,82,306,216,33,115,145,91,64,63,424,Funny
34,16,60,85,526,159,74,290,14,19,205,29,386,94,425,Funny
45,23,276,360,25,403,451,868,315,36,52,14,869,82,426,Persuasive
24,17,48,128,0,87,25,131,38,65,46,13,98,46,427,talk_id
255,69,11,267,4,90,193,128,192,32,78,45,17,161,428,talk_id
68,94,281,290,127,360,143,944,77,145,261,208,276,292,429,Inspiring
24,5,38,43,28,111,27,188,15,0,70,4,44,16,430,talk_id
321,19,32,443,22,247,273,326,133,39,61,38,70,44,431,Fascinating
32,6,6,49,34,119,137,45,8,234,142,15,35,62,432,talk_id
2,7,22,36,0,96,79,44,7,0,60,0,28,17,433,talk_id
2,25,35,82,5,244,19,23,3,19,76,60,116,132,434,talk_id
28,21,3,18,38,10,13,12,4,64,33,20,1,15,435,talk_id
28,13,41,66,4,197,36,267,12,67,86,84,203,253,436,talk_id
16,30,3,276,14,363,66,126,43,95,82,18,98,21,437,talk_id
206,10,55,158,511,17,182,139,132,45,47,20,16,12,438,Funny
0,18,21,63,1,267,3,7,69,31,36,26,94,35,439,talk_id
32,4,19,153,20,427,31,129,33,9,70,7,47,9,440,talk_id
15,141,42,366,7,401,231,45,107,22,130,31,123,348,441,talk_id
55,10,42,83,14,107,34,243,18,68,86,17,126,67,442,talk_id
187,15,5,139,0,18,149,123,71,63,75,16,3,61,443,talk_id
10,15,73,40,5,302,17,166,76,26,64,43,263,123,444,talk_id
49,74,60,72,7,212,27,179,7,94,108,48,209,253,445,talk_id
68,22,211,393,296,379,195,1604,115,62,153,39,810,105,446,Inspiring
107,25,18,54,7,1,35,39,54,11,32,84,5,27,447,talk_id
20,21,36,247,68,491,115,147,96,7,42,8,258,9,448,Informative
37,16,57,85,5,354,31,259,28,34,68,16,174,29,449,talk_id
323,6,27,401,66,0,267,154,424,12,120,14,17,12,450,talk_id
74,14,174,84,4,144,79,533,61,60,35,7,254,30,451,Inspiring
139,28,97,2851,2031,2309,1194,1069,555,44,149,14,1448,27,452,Fascinating
213,110,519,1752,4166,2231,345,154,363,184,715,209,100,212,453,Funny
45,5,12,499,4,276,11,99,44,4,65,6,39,19,454,Fascinating
28,8,3,26,30,34,44,35,16,6,93,12,6,53,455,talk_id
47,8,21,494,902,467,238,322,55,22,135,28,265,32,456,Funny
103,48,45,355,87,595,26,268,150,43,369,96,249,354,457,Informative
132,12,114,54,13,47,13,541,25,105,128,56,142,128,458,Inspiring
34,0,33,140,0,272,68,141,31,6,46,0,89,13,459,talk_id
561,10,30,245,26,0,146,238,399,32,55,23,7,30,460,Beautiful
54,35,158,81,4,100,45,412,47,152,47,29,290,77,461,talk_id
16,34,20,213,13,338,71,205,58,40,89,11,123,72,462,talk_id
266,16,93,103,4,130,30,397,89,29,43,14,179,44,463,talk_id
88,9,51,72,28,2,24,55,55,12,11,28,1,24,464,talk_id
17,37,33,43,4,87,18,113,13,14,162,29,53,376,465,talk_id
10,3,9,112,6,214,588,110,70,6,77,8,127,48,466,Ingenious
4,11,28,55,11,122,148,156,17,5,47,24,53,35,467,talk_id
43,64,16,179,25,448,13,219,35,84,169,15,113,98,468,talk_id
95,5,0,567,61,231,268,166,265,4,20,3,55,7,469,Fascinating
101,14,177,128,307,315,90,1278,20,12,240,15,346,59,470,Inspiring
111,19,62,422,41,315,67,407,71,43,89,47,135,34,471,talk_id
15,17,40,425,25,798,79,355,81,37,124,13,476,31,472,Informative
12,93,364,129,10,300,13,136,47,65,269,52,138,452,473,talk_id
62,3,31,460,5,379,164,238,182,44,62,17,111,18,474,talk_id
269,33,25,204,8,4,90,105,326,10,85,53,4,40,475,talk_id
33,81,37,336,22,634,142,493,47,26,188,19,389,87,476,Informative
4,7,23,44,0,162,41,81,10,17,27,6,184,26,477,talk_id
45,13,27,38,3,76,17,236,8,24,60,7,84,30,478,talk_id
16,8,104,57,8,15,2,196,24,3,65,165,24,24,479,talk_id
74,26,183,193,159,490,253,499,60,24,282,42,1116,169,480,Persuasive
161,3,89,202,82,75,214,544,58,1,46,1,104,7,481,Inspiring
84,244,44,107,18,69,43,262,17,447,128,1361,70,885,482,Obnoxious
61,94,2,36,3,53,8,75,10,65,58,25,12,38,483,talk_id
25,76,5,138,5,430,92,115,18,41,205,10,97,150,484,talk_id
129,1,285,44,5,66,4,210,33,3,49,5,5,6,485,talk_id
22,18,38,244,121,154,510,118,219,2,31,7,68,15,486,Ingenious
5,53,154,212,7,511,43,113,64,40,72,56,328,273,487,Informative
78,96,20,95,4,73,56,134,13,95,90,26,36,106,488,talk_id
22,2,20,144,5,228,393,129,37,3,27,3,67,2,489,talk_id
18,61,48,453,316,461,65,31,51,19,217,19,55,151,490,talk_id
122,39,57,395,15,640,59,209,33,212,193,79,214,84,491,Informative
51,22,172,59,14,163,19,711,82,72,87,87,430,199,492,Inspiring
662,53,633,1393,1173,985,613,3458,207,65,246,35,1759,70,493,Inspiring
84,20,10,223,253,63,210,137,40,22,75,14,12,32,494,talk_id
70,531,457,504,211,371,155,278,175,21,36,1031,646,2194,495,Unconvincing
197,9,42,287,97,6,162,118,404,114,62,12,5,11,496,talk_id
125,21,156,650,34,697,1426,1004,869,23,97,42,540,73,497,Ingenious
5,18,86,131,3,202,182,282,42,40,49,34,300,199,498,talk_id
217,22,31,531,3,408,280,660,123,48,52,25,227,32,499,Inspiring
237,9,362,77,5,61,8,550,140,10,36,18,76,19,500,Inspiring
348,86,483,3810,1191,4278,1067,4797,825,184,489,152,4772,133,501,Inspiring
74,20,42,708,29,491,900,325,583,6,94,23,136,42,502,Ingenious
46,12,67,613,182,800,225,415,245,11,26,12,472,6,503,Informative
166,46,51,134,27,17,125,175,67,59,66,118,14,68,504,talk_id
48,5,54,185,17,336,72,227,45,31,74,11,235,30,505,talk_id
26,19,34,156,9,127,516,207,65,11,72,10,67,38,506,Ingenious
6,21,24,26,2,58,11,123,5,94,43,18,98,74,507,talk_id
306,6,12,352,19,164,92,184,85,8,75,9,22,50,508,talk_id
7,6,230,96,23,76,19,49,43,25,67,17,10,19,509,talk_id
84,10,66,251,1,356,43,133,366,41,30,18,457,83,510,talk_id
36,0,342,91,17,33,8,328,208,14,17,25,50,22,511,talk_id
118,61,85,1348,356,1274,383,280,253,76,221,21,263,72,512,Fascinating
171,18,8,73,10,0,18,46,41,49,68,102,11,52,513,talk_id
4,20,171,281,39,564,15,37,127,42,78,15,212,39,514,Informative
430,7,82,540,269,144,629,816,365,12,32,18,80,13,515,Inspiring
85,18,9,289,877,181,235,194,35,26,105,29,39,41,516,Funny
344,26,118,2562,175,2032,182,465,246,190,175,15,160,26,517,Fascinating
560,8,25,49,5,1,19,149,54,8,104,19,10,22,518,Beautiful
64,9,30,251,364,237,68,434,40,16,47,12,156,22,519,talk_id
0,31,48,55,15,163,19,30,14,28,62,17,114,115,520,talk_id
486,15,851,385,95,82,522,2576,294,10,47,74,122,7,521,Inspiring
213,35,363,821,17,598,189,341,275,154,202,73,284,74,522,Fascinating
43,5,46,32,3,92,23,232,22,24,29,10,122,26,523,talk_id
19,42,36,335,8,681,84,143,51,43,129,55,289,169,524,Informative
83,19,30,141,1,284,40,522,13,77,202,6,158,44,525,talk_id
163,13,144,55,4,71,14,431,15,95,95,46,206,141,526,talk_id
22,20,13,247,9,240,70,79,68,28,28,3,66,12,527,talk_id
192,32,123,224,216,149,178,913,29,80,161,42,180,66,528,Inspiring
45,12,36,219,43,474,45,327,36,51,100,15,247,79,529,talk_id
30,38,48,333,52,396,115,597,64,59,134,45,341,128,530,Inspiring
5607,85,2817,2983,713,2687,744,9566,948,109,333,78,3002,103,531,Inspiring
206,141,13,1429,175,896,357,283,347,52,241,29,290,128,532,Fascinating
42,5,9,112,168,97,34,167,13,16,144,34,35,49,533,talk_id
230,8,15,367,8,268,100,229,74,70,80,16,37,20,534,talk_id
24,6,12,267,21,107,174,95,166,9,89,13,10,44,535,talk_id
65,19,45,884,2306,794,872,843,145,23,74,32,776,38,536,Funny
89,58,26,540,6,368,187,180,318,47,80,27,73,129,537,Fascinating
94,19,12,544,100,911,114,251,50,5,117,18,394,13,538,Informative
8,18,20,98,7,286,29,157,11,40,94,24,136,94,539,talk_id
36,3,3,226,6,139,186,29,163,8,79,9,13,29,540,talk_id
953,30,40,906,630,254,306,1522,215,27,61,12,224,31,541,Inspiring
27,4,59,55,0,297,493,172,103,2,26,5,177,28,542,talk_id
10,38,41,96,6,191,10,112,28,28,107,5,113,85,543,talk_id
41,59,26,256,25,338,196,149,45,167,105,23,399,71,544,talk_id
58,37,43,338,5,230,376,232,92,51,93,42,86,198,545,talk_id
154,37,567,103,15,90,7,676,46,31,140,33,75,120,546,Inspiring
116,65,3,322,34,262,130,116,32,76,97,12,39,31,547,talk_id
43,16,36,70,48,6,43,30,33,21,123,68,4,49,548,talk_id
33,31,36,117,8,325,16,76,17,61,184,15,115,124,549,talk_id
0,6,148,6,1,165,5,43,36,0,14,5,115,11,550,talk_id
21,17,16,108,12,260,13,38,36,28,67,22,51,76,551,talk_id
69,19,34,68,0,155,15,88,50,7,97,7,119,32,552,talk_id
14,13,17,143,22,252,10,92,16,3,54,15,54,28,553,talk_id
761,83,663,4403,165,1904,4743,4702,8416,85,341,108,535,171,554,Jaw-dropping
51,36,10,113,23,57,153,98,20,66,63,22,20,71,555,talk_id
51,16,42,56,0,80,7,272,5,129,99,44,63,85,556,talk_id
460,57,136,1014,172,631,350,1178,273,40,70,33,504,75,557,Inspiring
105,24,8,270,6,316,77,124,13,19,97,14,26,24,558,talk_id
100,7,86,773,651,724,296,480,298,7,59,16,384,45,559,Fascinating
19,17,64,72,3,260,56,341,30,91,98,30,227,90,560,talk_id
124,11,88,280,10,129,469,265,113,16,50,14,114,95,561,talk_id
110,41,141,68,45,67,70,219,24,33,53,122,112,94,562,talk_id
278,6,166,743,102,591,163,1148,374,31,82,21,464,27,563,Inspiring
10,17,40,21,24,74,11,101,0,28,52,43,74,86,564,talk_id
101,41,17,371,24,394,44,90,55,58,128,139,76,41,565,talk_id
188,9,49,379,154,348,315,504,165,9,31,3,114,6,566,talk_id
17,19,0,118,38,130,102,49,22,32,103,16,16,52,567,talk_id
99,7,1880,76,2,407,26,1327,590,9,30,11,596,11,568,Courageous
15,29,14,25,517,26,28,6,19,57,129,48,11,60,569,talk_id
88,21,31,135,13,116,18,180,5,74,72,17,45,29,570,talk_id
19,2,34,54,3,75,81,170,40,5,6,0,34,2,571,talk_id
37,20,35,56,11,197,7,94,15,11,134,34,58,138,572,talk_id
16,24,176,317,24,477,50,71,155,37,44,10,165,38,573,talk_id
143,5,176,92,3,66,4,305,29,12,32,5,39,13,574,talk_id
51,13,47,221,705,325,168,322,33,17,105,21,250,47,575,Funny
69,3,2,323,16,294,63,55,58,26,27,0,16,4,576,talk_id
59,11,3,265,65,402,111,153,17,42,154,16,101,44,577,talk_id
20,8,254,38,3,52,140,246,44,21,21,7,64,18,578,talk_id
12,2,31,179,14,323,69,119,28,6,51,12,158,49,579,talk_id
95,3,71,28,4,34,11,170,20,5,32,4,39,25,580,talk_id
39,12,38,291,58,205,56,126,32,31,83,9,132,19,581,talk_id
21,15,33,40,11,123,56,126,19,51,50,23,62,22,582,talk_id
59,10,186,184,10,64,83,604,53,43,53,23,146,21,583,Inspiring
91,8,32,1251,29,776,271,436,506,8,63,5,238,31,584,Fascinating
309,8,19,249,63,97,113,84,55,58,107,35,6,26,585,talk_id
128,13,47,861,43,1181,54,1136,122,27,132,18,671,53,586,Informative
56,6,40,72,5,114,7,111,19,14,38,5,67,7,587,talk_id
145,5,14,68,16,8,51,84,80,16,20,8,5,11,588,talk_id
264,5,299,107,200,80,41,892,172,15,41,10,88,7,589,Inspiring
92,7,37,564,342,532,134,445,135,14,40,9,161,11,590,talk_id
42,7,94,22,171,56,6,246,11,24,64,34,42,47,591,talk_id
113,5,133,57,6,83,25,252,34,0,24,1,43,3,592,talk_id
301,14,292,246,12,99,138,1287,131,9,58,13,321,41,593,Inspiring
8,2,5,45,0,116,36,76,13,3,51,6,32,8,594,talk_id
25,4,10,5,7,31,3,20,10,18,14,4,2,1,595,talk_id
24,80,20,86,782,41,174,24,40,55,78,91,11,47,596,Funny
111,17,738,913,236,147,75,722,897,38,97,52,61,43,597,Fascinating
85,4,2,55,2,75,9,59,11,8,44,7,11,11,598,talk_id
34,5,36,504,9,310,358,264,473,5,33,6,57,6,599,talk_id
161,17,25,137,31,6,103,120,182,46,48,20,12,32,600,talk_id
64,3,20,156,19,192,47,136,51,70,21,62,133,112,601,talk_id
253,11,219,75,351,91,120,825,140,18,39,49,202,25,602,Inspiring
17,5,11,109,7,412,74,71,25,15,80,8,176,77,603,talk_id
32,17,15,105,1,52,176,113,43,31,22,12,45,10,604,talk_id
434,24,549,160,44,111,66,870,152,32,31,111,192,71,605,Inspiring
125,1,44,54,2,129,370,299,41,5,34,3,115,6,606,talk_id
87,13,34,558,924,758,333,513,86,9,158,10,274,17,607,Funny
1288,14,745,422,969,322,245,3436,371,40,98,18,498,18,608,Inspiring
14,17,14,129,23,224,93,125,25,51,79,26,200,28,609,talk_id
29,13,87,97,2,108,199,228,58,4,8,6,69,8,610,talk_id
11,9,24,120,16,144,313,107,50,20,33,11,74,10,611,talk_id
8,44,31,118,1,177,59,104,25,34,42,10,121,52,612,talk_id
143,0,26,83,0,23,68,119,20,21,28,12,4,16,613,talk_id
21,9,494,77,5,387,21,349,96,56,65,9,293,23,614,talk_id
470,69,1547,844,359,2606,297,4779,1413,99,249,109,3316,113,615,Inspiring
123,16,31,591,90,244,459,303,849,8,103,12,52,28,616,Jaw-dropping
21,28,69,88,15,233,39,286,25,56,109,60,272,241,617,talk_id
513,10,562,165,15,158,47,1125,145,85,94,29,249,56,618,Inspiring
39,61,224,367,38,962,263,795,141,80,221,78,728,181,619,Informative
30,46,15,189,6,175,55,129,27,65,101,33,78,141,620,talk_id
17,14,269,107,17,263,101,443,120,17,37,19,758,54,621,Persuasive
14,5,12,228,2,250,113,139,87,12,33,7,80,16,622,talk_id
312,39,843,1357,141,1432,302,2290,341,45,99,27,542,31,623,Inspiring
75,2,75,217,7,216,111,332,48,19,24,2,63,7,624,talk_id
402,13,229,210,282,24,53,612,86,15,39,9,43,13,625,talk_id
1194,8,35,1573,1342,299,911,777,796,12,73,14,163,14,626,Fascinating
64,85,29,1417,62,1169,360,615,234,85,161,7,543,42,627,Fascinating
44,9,15,178,149,173,28,87,30,14,46,12,21,24,628,talk_id
37,11,9,232,0,229,271,120,141,2,50,4,69,67,629,talk_id
163,5,12,362,130,324,134,306,50,14,42,6,46,6,630,talk_id
89,8,164,456,24,228,86,1033,56,70,138,48,158,32,631,Inspiring
805,13,78,454,26,27,162,543,1093,32,103,27,27,36,632,Jaw-dropping
262,14,92,237,132,402,116,1374,120,70,102,11,481,72,633,Inspiring
31,14,19,171,4,219,87,278,89,7,29,11,144,9,634,talk_id
5,16,8,52,165,205,216,71,19,4,59,8,215,63,635,talk_id
191,7,118,681,562,746,275,1227,324,34,47,16,694,52,636,Inspiring
6,141,35,125,208,74,70,26,97,18,123,60,49,102,637,talk_id
35,55,155,88,464,172,44,758,85,91,114,430,316,152,638,Inspiring
9,6,52,399,18,165,300,126,517,27,17,10,69,16,639,talk_id
0,4,28,62,3,145,68,116,28,16,24,14,202,19,640,talk_id
77,0,16,293,663,290,98,262,62,20,11,4,96,0,641,Funny
185,93,547,1541,481,774,1137,2421,511,112,221,118,1139,453,642,Inspiring
32,5,139,136,6,57,0,180,137,35,45,8,9,29,643,talk_id
92,55,22,139,5,65,32,197,12,117,70,20,42,66,644,talk_id
157,128,1246,1029,100,923,557,1316,348,149,215,259,2090,612,645,Persuasive
31,0,53,12,2,132,3,102,6,6,40,4,66,14,646,talk_id
15,2,104,79,9,312,227,224,19,5,84,3,476,10,647,talk_id
21,3,44,318,17,265,133,222,107,14,27,14,145,23,648,talk_id
507,6,55,235,11,74,36,610,69,8,80,32,85,30,649,talk_id
87,6,54,71,35,47,16,264,72,11,31,12,70,32,650,talk_id
26,3,323,89,24,369,14,513,282,5,30,28,368,15,651,talk_id
122,0,149,75,7,67,26,543,41,11,26,10,53,12,652,talk_id
7,17,23,84,2,261,43,56,13,13,207,62,117,230,653,talk_id
238,19,312,827,1660,729,929,2417,210,11,226,32,1050,45,654,Inspiring
478,77,826,778,649,276,406,2141,825,146,302,143,782,119,655,Inspiring
18,33,47,327,372,346,187,179,151,74,105,97,154,103,656,talk_id
27,23,245,175,268,667,100,205,94,16,53,46,712,12,657,Persuasive
132,2,139,103,0,56,103,508,178,40,21,6,98,8,658,talk_id
53,13,40,508,107,378,552,522,236,49,128,46,69,30,659,talk_id
224,0,5,252,41,259,40,38,36,7,43,2,10,0,660,talk_id
875,9,42,191,16,39,143,388,163,10,33,25,16,6,661,Beautiful
41,80,702,264,76,962,94,709,107,110,158,356,1406,564,662,Persuasive
184,9,90,168,1,182,20,527,71,15,158,48,215,71,663,talk_id
12,18,12,109,94,297,87,134,16,2,45,11,148,9,664,talk_id
63,21,36,49,1,102,16,125,9,64,77,26,29,53,665,talk_id
519,2,19,198,37,8,199,293,275,12,40,9,18,16,666,talk_id
223,0,16,353,16,196,69,130,187,10,15,1,35,3,667,talk_id
44,27,328,389,1071,757,224,357,121,188,195,194,999,225,668,Funny
8,0,28,66,5,83,182,109,31,1,18,3,46,6,669,talk_id
62,19,30,447,360,587,299,617,61,16,116,4,336,17,670,talk_id
8,2,28,53,137,373,74,217,13,4,52,5,271,26,671,talk_id
115,15,196,75,9,87,22,362,18,38,37,16,114,43,672,talk_id
91,129,94,781,14,334,596,403,476,68,73,74,101,96,673,Fascinating
44,0,289,88,17,51,5,344,52,17,30,8,57,7,674,talk_id
20,53,17,135,20,241,115,188,12,154,114,16,128,71,675,talk_id
119,25,210,755,5552,937,1746,255,212,31,272,79,245,89,676,Funny
21,11,60,181,3,369,119,363,42,9,45,0,444,25,677,talk_id
1640,112,1161,7440,390,6600,3413,21564,2659,390,1341,294,8845,930,678,Inspiring
11,5,119,142,4,468,9,150,364,47,38,15,526,14,679,talk_id
43,8,44,116,3,121,119,348,48,36,25,3,71,11,680,talk_id
177,8,7,21,9,3,13,48,17,9,80,22,5,26,681,talk_id
61,52,41,758,36,762,224,555,102,86,207,23,413,123,682,Informative
20,5,14,362,121,120,682,138,428,10,24,15,60,32,683,talk_id
33,5,17,86,6,168,20,138,46,13,16,6,195,8,684,talk_id
78,17,151,432,263,856,633,1327,104,19,76,16,1224,50,685,Inspiring
245,14,218,147,4025,135,247,161,115,23,251,71,36,45,686,Funny
346,13,178,303,264,253,182,1673,124,8,59,13,455,12,687,Inspiring
119,35,260,1576,29,2364,653,1712,968,20,170,27,1771,69,688,Informative
47,18,109,115,138,455,242,780,29,30,438,88,975,204,689,Persuasive
51,3,17,73,37,125,5,81,20,16,28,11,63,12,690,talk_id
10,60,36,143,25,324,87,183,23,39,176,46,155,350,691,talk_id
30,54,46,355,4,240,251,180,538,98,41,11,28,28,692,talk_id
1248,34,885,2199,3000,1237,1116,7631,865,71,208,38,2876,83,693,Inspiring
37,2,48,269,128,518,95,194,55,16,53,25,381,42,694,talk_id
18,17,453,115,5,523,11,67,346,7,77,34,186,37,695,talk_id
7,7,14,140,0,264,96,69,50,34,41,21,56,48,696,talk_id
206,4,9,50,4,1,9,70,57,15,37,19,4,13,697,talk_id
5,40,48,31,50,133,36,61,9,41,30,47,172,66,698,talk_id
72,44,24,479,7,203,428,294,514,42,112,14,59,139,699,talk_id
744,9,175,431,7,760,16,939,313,27,57,23,667,29,700,Inspiring
39,34,240,369,455,283,150,161,81,14,135,37,88,89,701,talk_id
509,14,42,436,16,240,34,833,121,30,69,15,294,34,702,Inspiring
95,7,24,188,300,28,337,114,208,31,72,21,9,16,703,talk_id
60,29,89,263,69,287,145,439,30,28,91,11,519,44,704,talk_id
84,3,75,58,33,115,57,337,34,4,19,0,94,0,705,talk_id
26,16,30,280,540,350,365,420,29,25,74,9,489,23,706,talk_id
17,33,44,129,22,585,40,87,27,11,70,17,258,53,707,talk_id
80,18,20,373,29,362,146,168,23,44,107,12,153,33,708,talk_id
31,38,27,522,475,818,139,116,84,60,140,98,429,127,709,Informative
34,15,16,136,28,485,73,115,49,20,111,54,165,92,710,talk_id
54,7,9,175,4,262,14,103,28,18,33,3,102,4,711,talk_id
77,27,171,281,73,308,207,1184,129,55,97,176,529,107,712,Inspiring
273,5,296,84,3,19,13,397,70,18,26,23,32,12,713,talk_id
326,24,206,446,43,477,203,2201,103,78,184,55,742,109,714,Inspiring
471,11,51,198,35,32,83,477,60,65,68,87,38,48,715,talk_id
18,6,56,132,16,222,55,299,23,42,71,10,197,16,716,talk_id
65,10,69,366,2,551,224,445,456,12,46,10,309,48,717,talk_id
43,32,21,118,618,76,57,75,22,41,204,110,13,78,718,talk_id
24,14,24,245,20,411,105,444,28,15,114,14,358,30,719,talk_id
13,27,22,111,0,339,73,184,8,68,71,18,214,49,720,talk_id
8,5,29,28,5,230,3,71,23,11,36,10,141,10,721,talk_id
691,24,20,668,10,469,154,402,346,24,174,7,44,24,722,talk_id
40,41,69,269,216,114,366,189,193,6,87,46,32,160,723,talk_id
319,107,7,482,66,241,225,220,88,69,84,2,45,16,724,talk_id
16,45,61,70,39,322,62,225,14,48,121,73,236,89,725,talk_id
78,24,114,87,2,125,92,306,20,12,130,45,116,189,726,talk_id
111,30,74,766,187,1167,339,679,156,18,134,22,866,88,727,Informative
44,10,335,78,3,336,12,252,177,58,69,35,394,68,728,talk_id
121,20,68,1331,259,981,539,1124,274,39,133,21,762,44,729,Fascinating
14,6,50,204,44,367,60,371,20,21,71,16,301,20,730,talk_id
1293,28,496,980,77,336,194,2251,204,80,192,32,437,73,731,Inspiring
81,26,1915,575,57,845,179,1089,415,29,140,71,387,75,732,Courageous
180,34,274,191,178,138,205,605,62,29,56,39,136,151,733,talk_id
50,24,19,340,5,318,53,164,75,64,79,5,74,29,734,talk_id
78,17,49,1071,40,386,909,542,1334,17,68,25,92,40,735,Jaw-dropping
6,5,7,125,28,161,148,57,50,1,33,24,38,24,736,talk_id
364,29,232,1391,523,1437,279,1112,184,116,130,74,701,70,737,Informative
2,6,106,12,4,176,3,16,80,21,12,5,107,22,738,talk_id
307,12,151,89,46,95,42,1011,47,138,189,28,231,81,739,Inspiring
31,10,8,121,0,116,60,80,71,58,40,18,28,18,740,talk_id
46,26,44,855,268,821,404,325,173,90,144,36,415,93,741,Fascinating
70,2,413,146,11,71,20,536,128,11,61,42,170,41,742,talk_id
10,3,61,77,4,223,72,201,52,7,17,1,251,17,743,talk_id
76,25,170,83,12,344,16,606,79,32,57,29,364,51,744,talk_id
241,14,502,46,98,140,59,694,95,22,100,43,777,88,745,Persuasive
59,15,15,198,6,62,156,73,109,33,73,37,22,166,746,talk_id
61,30,124,48,405,139,44,279,15,27,101,18,157,31,747,talk_id
201,13,353,262,4013,202,229,451,148,36,200,42,185,28,748,Funny
11,30,25,395,110,365,277,301,59,22,93,35,310,95,749,talk_id
713,13,23,1225,250,1216,754,806,169,54,190,33,477,37,750,Fascinating
56,4,28,189,0,235,18,87,24,38,76,4,61,24,751,talk_id
282,39,80,579,132,637,342,926,267,23,75,21,516,64,752,Inspiring
78,9,47,74,149,102,40,198,13,22,78,14,99,21,753,talk_id
7,32,57,35,10,232,16,67,16,46,53,22,143,69,754,talk_id
33,26,16,158,234,354,183,141,18,29,297,49,139,223,755,talk_id
241,11,218,316,35,388,143,1485,74,27,81,28,592,70,756,Inspiring
25,23,58,107,17,406,45,246,33,42,106,15,277,36,757,talk_id
194,33,53,61,8,55,13,292,16,107,72,41,40,80,758,talk_id
136,38,94,364,366,1209,187,796,94,22,488,48,752,249,759,Informative
382,6,32,722,14,578,51,279,185,85,126,22,53,36,760,talk_id
151,12,173,1069,239,385,627,1609,670,16,83,8,491,19,761,Inspiring
86,37,7,115,10,37,66,98,20,45,46,10,15,31,762,talk_id
7,12,163,95,5,103,31,210,23,40,18,17,81,17,763,talk_id
41,14,79,66,8,74,19,295,37,26,40,21,172,27,764,talk_id
30,59,29,180,1620,368,221,174,45,124,251,114,171,173,765,Funny
12,12,14,66,4,262,9,36,34,8,23,11,163,23,766,talk_id
174,13,96,381,14,309,146,1193,149,41,88,8,431,24,767,Inspiring
24,117,11,395,11,907,29,133,25,30,607,21,156,329,768,Informative
8,19,7,230,5,307,172,99,43,39,47,10,124,32,769,talk_id
190,9,7,148,20,132,32,57,20,11,50,12,1,7,770,talk_id
44,14,20,367,128,605,77,59,86,13,69,8,37,7,771,talk_id
115,19,35,1014,230,970,381,1404,97,80,298,16,473,52,772,Inspiring
19,1,24,16,0,35,22,83,11,4,36,2,25,1,773,talk_id
